Student_ID,Teacher,Claim_Score,Evidence_Score,Reasoning_Score,Organization_Score,Conventions_Score,Total_Score,Proficient
7001,Mr_Adams,3,2,2,3,4,14,Yes
7002,Mr_Adams,4,3,3,4,4,18,Yes
7003,Mr_Adams,2,2,1,2,3,10,No
7004,Mr_Adams,3,3,2,3,3,14,Yes
7005,Mr_Adams,2,1,1,2,3,9,No
7006,Mr_Adams,4,3,3,3,4,17,Yes
7007,Mr_Adams,3,2,2,3,3,13,No
7008,Mr_Adams,2,2,2,2,4,12,No
7009,Mr_Adams,4,3,3,4,4,18,Yes
7010,Mr_Adams,3,2,2,3,3,13,No
7011,Mr_Adams,2,1,1,2,2,8,No
7012,Mr_Adams,3,3,2,3,4,15,Yes
7013,Mr_Adams,4,3,3,3,3,16,Yes
7014,Mr_Adams,3,2,2,3,4,14,Yes
7015,Mr_Adams,2,2,1,2,3,10,No
7016,Ms_Rodriguez,4,4,3,4,4,19,Yes
7017,Ms_Rodriguez,3,3,3,3,4,16,Yes
7018,Ms_Rodriguez,4,3,3,4,3,17,Yes
7019,Ms_Rodriguez,3,3,2,3,4,15,Yes
7020,Ms_Rodriguez,4,4,4,4,4,20,Yes
7021,Ms_Rodriguez,3,3,3,3,3,15,Yes
7022,Ms_Rodriguez,2,2,2,3,3,12,No
7023,Ms_Rodriguez,4,3,3,3,4,17,Yes
7024,Ms_Rodriguez,3,4,3,4,4,18,Yes
7025,Ms_Rodriguez,4,3,3,4,3,17,Yes
7026,Ms_Rodriguez,3,3,2,3,3,14,Yes
7027,Ms_Rodriguez,2,2,2,2,3,11,No
7028,Ms_Rodriguez,4,4,3,4,4,19,Yes
7029,Ms_Rodriguez,3,3,3,3,4,16,Yes
7030,Ms_Rodriguez,4,3,4,4,3,18,Yes
7031,Mr_Thompson,2,2,1,2,3,10,No
7032,Mr_Thompson,3,2,2,2,3,12,No
7033,Mr_Thompson,2,1,1,2,2,8,No
7034,Mr_Thompson,3,2,2,3,3,13,No
7035,Mr_Thompson,2,2,2,2,4,12,No
7036,Mr_Thompson,3,3,2,3,3,14,Yes
7037,Mr_Thompson,2,1,1,2,3,9,No
7038,Mr_Thompson,3,2,2,2,3,12,No
7039,Mr_Thompson,2,2,1,3,3,11,No
7040,Mr_Thompson,4,3,2,3,3,15,Yes
7041,Mr_Thompson,2,2,2,2,3,11,No
7042,Mr_Thompson,3,2,1,2,3,11,No
7043,Mr_Thompson,2,1,1,2,2,8,No
7044,Mr_Thompson,3,2,2,3,4,14,Yes
7045,Mr_Thompson,2,2,2,2,3,11,No
